genus.Rep	gtdb.r226.genus	new.proposed.genus.names.if.changed
036-NL-06.bin.1.521	Aurantibacillus	Aurantibacillus
008-AR-23.bin.1.434	UBA4416	Potosius
032-ES-07.bin.1.17	JALNZU01	Dahejiula
036-NL-06.bin.1.760	UBA4417	Berazateguiaria
035-MX-06.bin.1.119	Lentimicrobium	Lentimicrobium
065-CA-03.bin.1.148	Draconibacterium	Draconibacterium
009-AU-01.bin.1.80	Paludibacter	Paludibacter
090-US1-124.bin.1.717	Flavobacterium	Flavobacterium
028-AU-34.bin.1.275	PHOS-HE28	PHOS-HE28
063-AU-32.bin.1.230	JADJGJ01	Glenelgisoma
014-ES-23.bin.1.136	UBA7236	Potosiana
065-CA-03.bin.1.69	JADIYW01	Melbournisoma
059-AT-02.bin.1.55	JADJSS01	Woodfordiana
025-FI-01.bin.1.273	JAEUUZ01	Karnatakaula
014-ES-23.bin.1.375	Bog-950	Josearia
053-PL-24.bin.1.433	OLB11	Lleidaella
066-CH-22.bin.1.569	Sediminibacterium	Sediminibacterium
063-AU-32.bin.1.155	Ferruginibacter	Ferruginibacter
043-US1-27.bin.1.342	JJ008	Olathebacter
018-CH-08.bin.1.272	JAEUUX01	JAEUUX01
027-AU-18.bin.1.120	JADJVK01	Hongkongium
009-AU-01.bin.1.72	M3007	Montevideovita
091-US1-126.bin.c.23	UBA2329	Varelavivens
058-AR-20.bin.c.12	Haliscomenobacter	Haliscomenobacter
023-IN-14.bin.1.444	JADJPL01	Potosiplasma
040-UK-14.bin.1.61	Vicinibacter	Vicinibacter
062-AU-26.bin.1.211	JADJLQ01	Josecoccus
034-IT-09.bin.1.358	Opimibacter	Opimibacter
050-BE-09.bin.1.665	Parvibacillus	Parvibacillus
048-UY-15.bin.1.210	JADKBO01	Chicopeeus
028-AU-34.bin.1.230	OLB9	Randabergiula
035-MX-06.bin.1.274	Nitrospira_A	Nitrospira_A
002-MX-07.bin.2.25	Nitrospira_D	Nitrospira_D
063-AU-32.bin.c.25	JAGNTT01	Woodfordiella
034-IT-09.bin.c.15	JADLGJ01	Emiliana
002-MX-07.bin.1.119	JADKIY01	Durhamimorpha
093-US1-47.bin.1.205	JADJJR01	Telavivibacterium
040-UK-14.bin.1.269	JADKHR01	Nestemicevita
018-CH-08.bin.c.9	JALHOQ01	Zurichisoma
095-US2-13.bin.1.487	Ga0074137	Dubendorfiula
014-ES-23.bin.c.10	Pseudobdellovibrio	Pseudobdellovibrio
041-UK2-07.bin.1.163	JBEIFN01	Bonziula
008-AR-23.bin.1.344	WYBB01	Haagiplasma
008-AR-23.bin.1.619	JAEUJT01	Montevideous
028-AU-34.bin.1.194	Archangium_A	Archangium_A
018-CH-08.bin.2.227	JAEUJQ01	Sydneyvivens
094-US2-01.bin.1.160	Ga0077550	Chicopeearia
094-US2-01.bin.1.789	JADJRG01	JADJRG01
061-AU-11.bin.2.99	Nannocystis	Nannocystis
042-US1-105.bin.1.259	JAEUKA01	JAEUKA01
017-IL-02.bin.1.19	UBA2376	Kelownamorpha
003-CA-05.bin.1.10	JABFXX01	Olathecella
025-FI-01.bin.1.312	CAISKJ01	CAISKJ01
004-NL-18.bin.1.123	SCUS01	Woodfordicella
016-PL-06.bin.1.797	JBBSAT01	Nestemicesoma
010-BE-17.bin.1.109	JADJJE01	Randabergousia
013-IT-11.bin.1.606	CAITIQ01	Angliula
094-US2-01.bin.1.358	Labilithrix	Labilithrix
017-IL-02.bin.1.51	JAAFHV01	Oslococcus
035-MX-06.bin.1.145	Geothrix	Geothrix
021-CZ-11.bin.1.691	JAGPDF01	Durhamibacter
033-IN-11.bin.1.442	JACTMI01	Haagimorpha
008-AR-23.bin.1.381	JADLDI01	Zillertalivita
065-CA-03.bin.1.197	OLB17	Yanbumicrobium
006-MY-06.bin.c.45	JADIYM01	Lumpuribacterium
036-NL-06.bin.1.495	JAGNNV01	Plzenisoma
004-NL-18.bin.1.6	JAEUQQ01	JAEUQQ01
076-IN-18.bin.1.12	CADEFD01	CADEFD01
066-CH-22.bin.1.32	WHSN01	Karnatakaum
090-US1-124.bin.1.494	Reyranella	Reyranella
093-US1-47.bin.1.164	JAEUKQ01	Montevideosoma
023-IN-14.bin.1.304	Defluviicoccus	Defluviicoccus
067-CH-23.bin.1.322	Sphingobium	Sphingobium
052-CH-10.bin.1.90	Aquisediminimonas	Aquisediminimonas
058-AR-20.bin.1.120	Sphingorhabdus_B	Sphingorhabdus_B
013-IT-11.bin.1.124	Novosphingobium	Novosphingobium
090-US1-124.bin.1.30	SZUA-430	Bolivarivita
006-MY-06.bin.1.149	JADZAI01	Lumpurousia
018-CH-08.bin.1.184	Phenylobacterium	Phenylobacterium
043-US1-27.bin.1.163	Vitreimonas	Vitreimonas
014-ES-23.bin.1.416	UBA7672	Ittigenibacterium
073-IL-01.bin.1.81	Paracoccus	Paracoccus
016-PL-06.bin.1.122	Albidovulum	Albidovulum
090-US1-124.bin.1.571	TMP-24	Haagium
045-US1-87.bin.1.37	QY30	Espooum
015-DE-14.bin.c.1	Cypionkella	Cypionkella
052-CH-10.bin.1.119	Tabrizicola	Tabrizicola
058-AR-20.bin.1.142	Pseudogemmobacter	Pseudogemmobacter
004-NL-18.bin.2.186	JAAKGP01	Rotterdamiella
028-AU-34.bin.1.61	Rhodoplanes	Rhodoplanes
025-FI-01.bin.1.274	JAJXWB01	Lisboaria
043-US1-27.bin.1.517	Devosia_A	Devosia_A
038-SE-10.bin.1.73	JANMEX01	Lidingovita
019-HK-04.bin.1.611	DUSC01	Nestemicemonas
016-PL-06.bin.1.5	Mesorhizobium_G	Mesorhizobium_G
008-AR-23.bin.1.72	Mesorhizobium_I	Mesorhizobium_I
058-AR-20.bin.1.186	Aestuariivirga	Aestuariivirga
073-IL-01.bin.1.133	JAEUMD01	Nestemiceousia
082-NL-09.bin.c.2	Hyphomicrobium_C	Hyphomicrobium_C
038-SE-10.bin.1.18	Hyphomicrobium_B	Hyphomicrobium_B
011-CY-01.bin.1.245	Ga0077555	Nestemiceum
002-MX-07.bin.1.575	AWTP1-13	Olatheus
090-US1-124.bin.1.295	JABFRJ01	Morpethiaria
063-AU-32.bin.c.21	RPQJ01	RPQJ01
053-PL-24.bin.1.591	ZC4RG30	Thuwalimonas
071-HK-01.bin.1.58	UBA964	Anglicoccus
062-AU-26.bin.1.41	CADEFQ01	Rotterdamiula
009-AU-01.bin.1.75	JADKHK01	Deurnemicrobium
053-PL-24.bin.1.182	Dokdonella	Dokdonella
017-IL-02.bin.1.135	Denitratimonas	Denitratimonas
089-SG-01.bin.1.87	Arenimonas	Arenimonas
023-IN-14.bin.1.553	Thermomonas	Thermomonas
043-US1-27.bin.c.15	M0108	Berazateguius
042-US1-105.bin.c.20	Competibacter	Competibacter
001-SG-02.bin.1.226	Competibacter_A	Competibacter_A
032-ES-07.bin.1.207	RXIV01	Barcelonousia
017-IL-02.bin.1.255	JARSSO01	Morpethibacter
076-IN-18.bin.1.728	Thiothrix	Thiothrix
055-AR-06.bin.1.59	Aeromonas	Aeromonas
065-CA-03.bin.1.251	UBA2031	Karnatakaria
018-CH-08.bin.2.379	Acinetobacter	Acinetobacter
023-IN-14.bin.2.241	Fluviicoccus	Fluviicoccus
015-DE-14.bin.2.151	Agitococcus	Agitococcus
099-UY-16.bin.1.290	Pseudomonas_E	Pseudomonas_E
058-AR-20.bin.1.176	UBA7239	Pincourtisoma
035-MX-06.bin.1.6	UBA5518	Zurichimorpha
028-AU-34.bin.1.325	Marimicrobium	Marimicrobium
071-HK-01.bin.1.379	Quisquiliibacterium	Quisquiliibacterium
012-PT-06.bin.1.125	AAP99	Neustadtius
058-AR-20.bin.1.465	Inhella	Inhella
053-PL-24.bin.1.493	Aquabacterium	Aquabacterium
014-ES-23.bin.1.210	Sphaerotilus	Sphaerotilus
018-CH-08.bin.1.366	PBB1	PBB1
090-US1-124.bin.1.692	Piscinibacter	Piscinibacter
009-AU-01.bin.1.280	CAIKUF01	Glenelgivita
011-CY-01.bin.1.362	Rubrivivax	Rubrivivax
040-UK-14.bin.1.542	Aquabacterium_A	Aquabacterium_A
018-CH-08.bin.1.423	Ideonella	Ideonella
040-UK-14.bin.1.135	JAMIFN01	Bentosiula
019-HK-04.bin.1.103	Hydrogenophaga	Hydrogenophaga
059-AT-02.bin.1.302	Ottowia	Ottowia
072-HK-05.bin.1.212	JADKHE01	Hongkongiana
008-AR-23.bin.1.642	RAM1	Lisboamicrobium
062-AU-26.bin.1.98	Simplicispira	Simplicispira
052-CH-10.bin.2.341	Acidovorax	Acidovorax
037-NO2-03.bin.1.485	JAAFJR01	Melbournicella
017-IL-02.bin.1.635	CAISIP01	Oslobacter
098-UY-13.bin.1.328	Rhodoferax_C	Rhodoferax_C
014-ES-23.bin.1.319	Rhodoferax	Rhodoferax
035-MX-06.bin.1.258	FEB-7	FEB-7
020-NO1-03.bin.1.99	JAEUNB01	Oslousia
090-US1-124.bin.1.337	Casimicrobium	Casimicrobium
061-AU-11.bin.1.112	VBCG01	VBCG01
036-NL-06.bin.1.318	CAIWHR01	Singaporiana
015-DE-14.bin.1.95	Ga0077523	Yanbubacter
040-UK-14.bin.1.190	PFJX01	Shevamonas
002-MX-07.bin.1.716	CALMFQ01	CALMFQ01
021-CZ-11.bin.1.329	Nitrosomonas	Nitrosomonas
017-IL-02.bin.1.27	Nitrotoga	Nitrotoga
004-NL-18.bin.1.309	Propionivibrio	Propionivibrio
002-MX-07.bin.1.567	Accumulibacter	Accumulibacter
014-ES-23.bin.1.37	Proximibacter	Proximibacter
041-UK2-07.bin.1.426	Azonexus	Azonexus
021-CZ-11.bin.1.6	SSSZ01	Chicopeemonas
098-UY-13.bin.1.166	Zoogloea	Zoogloea
035-MX-06.bin.1.451	Thauera	Thauera
052-CH-10.bin.1.192	Methyloversatilis	Methyloversatilis
035-MX-06.bin.1.88	Methylophosphatis	Methylophosphatis
012-PT-06.bin.1.383	Desulfobacillus	Desulfobacillus
093-US1-47.bin.1.555	Fen-999	Lidingous
062-AU-26.bin.1.204	JADJEF01	Zurichibacter
090-US1-124.bin.c.8	Rugosibacter	Rugosibacter
046-US2-03.bin.1.425	Sulfuritalea	Sulfuritalea
