bin	tax_gtdb.r220
001-SG-02.bin.2.182	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__CALDUY01;s__
001-SG-02.bin.2.183	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__OLB17 sp016789265
001-SG-02.bin.2.184	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA6663;g__SpSt-583;s__
001-SG-02.bin.2.185	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__JAGQSN01;s__
001-SG-02.bin.2.186	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__
001-SG-02.bin.2.187	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__JAGROB01;g__JAGROB01;s__
001-SG-02.bin.2.188	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Bin65;f__Bin65;g__SBBV01;s__
001-SG-02.bin.2.189	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JAABTG01;f__JAABTG01;g__JAGNLM01;s__JAGNLM01 sp937867305
001-SG-02.bin.2.190	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp020160935
001-SG-02.bin.2.191	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__JAEUKQ01;f__JAEUKQ01;g__JAEUKQ01;s__
001-SG-02.bin.2.192	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Ahniellaceae;g__UDEA-SF1;s__
001-SG-02.bin.2.193	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA966;s__
001-SG-02.bin.2.194	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__;s__
001-SG-02.bin.2.196	d__Bacteria;p__Myxococcota;c__UBA727;o__UBA727;f__G023898405;g__G023898405;s__
001-SG-02.bin.2.197	d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__CAIXRL01;s__
001-SG-02.bin.2.198	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__
001-SG-02.bin.2.199	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__
001-SG-02.bin.2.201	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__
001-SG-02.bin.2.202	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae;g__Silvanigrella;s__
