Tree node ID	Genus	Uncharacterised	MiDAS_GCF_1	MiDAS_GCF_2	MiDAS_GCF_3	MiDAS_GCF_4	MiDAS_GCF_5	MiDAS_GCF_6	MiDAS_GCF_7	MiDAS_GCF_8	MiDAS_GCF_9	MiDAS_GCF_10	MiDAS_GCF_11	MiDAS_GCF_12	MiDAS_GCF_13	MiDAS_GCF_14	MiDAS_GCF_15
038-SE-10.bin.1.18'	Hyphomicrobium_B	93.48	0	0	0	0	22.83	85.87	0	0	0	0	0	0	0	0	0
082-NL-09.bin.c.2'	Hyphomicrobium_C	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
004-NL-18.bin.2.356'	IGN3	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
018-CH-08.bin.1.423'	Ideonella	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
058-AR-20.bin.1.465'	Inhella	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011-CY-01.bin.2.80'	JAAEKA01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
017-IL-02.bin.1.51'	JAAFHV01	83.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
037-NO2-03.bin.1.485'	JAAFJR01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
004-NL-18.bin.2.186'	JAAKGP01	74.42	0	0	0	0	0	0	0	0	0	67.44	0	0	0	0	0
027-AU-18.bin.1.31'	JAAZBK01	92.73	0	0	0	0	0	0	0	94.55	0	0	0	0	0	0	0
072-HK-05.bin.1.25'	JABDGM01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090-US1-124.bin.1.295'	JABFRJ01	100	0	0	0	0	0	66.67	0	0	0	0	0	0	0	0	0
003-CA-05.bin.1.10'	JABFXX01	97.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
063-AU-32.bin.1.219'	JABWCE01	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
064-CA-01.bin.1.64'	JACJWR01	15.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
