Tree node ID	Genus	Alginate	Cellulose	Curdlan	Pel	PNAG (pga)
013-IT-11.bin.1.129'	JAGQSI01	0	0	0	0	0
095-US2-13.bin.1.640'	JAGQSN01	0	0	0	0	0
073-IL-01.bin.1.849'	JAGQSZ01	0	0	0	0	0
042-US1-105.bin.c.24'	JAGXIT01	0	0	0	0	0
001-SG-02.bin.1.95'	JAIBCL01	0	0	0	100	0
027-AU-18.bin.c.8'	JAIXLE01	0	0	0	0	0
025-FI-01.bin.1.274'	JAJXWB01	0	96.88	18.75	0	0
089-SG-01.bin.1.327'	JAKOUY01	0	0	0	0	0
018-CH-08.bin.c.9'	JALHOQ01	0	0	0	0	0
032-ES-07.bin.1.17'	JALNZU01	0	0	0	0	0
040-UK-14.bin.1.135'	JAMIFN01	0	0	0	0	0
038-SE-10.bin.1.73'	JANMEX01	0	0	0	0	0
017-IL-02.bin.1.255'	JARSSO01	0	0	0	0	0
076-IN-18.bin.1.537'	JAWKJK01	0	0	0	0	0
066-CH-22.bin.1.540'	JBAOHV01	0	0	0	0	0
020-NO1-03.bin.2.161'	JBBQCW01	0	0	0	0	0
016-PL-06.bin.1.797'	JBBSAT01	0	0	0	0	0
041-UK2-07.bin.1.163'	JBEIFN01	0	91.67	0	0	0
014-ES-23.bin.2.36'	JBEISR01	0	0	0	0	0
043-US1-27.bin.1.342'	JJ008	0	0	0	0	0
094-US2-01.bin.1.358'	Labilithrix	0	0	0	5.56	0
046-US2-03.bin.1.433'	Lacipirellula	0	0	0	0	0
018-CH-08.bin.1.247'	Lacunisphaera	0	0	0	0	0
003-CA-05.bin.1.72'	Leadbetterella	0	0	0	0	0
035-MX-06.bin.1.119'	Lentimicrobium	0	0	0	0	0
061-AU-11.bin.1.332'	Lutibacillus	0	0	0	0	0
043-US1-27.bin.c.15'	M0108	0	27.78	0	0	0
009-AU-01.bin.1.72'	M3007	0	0	0	0	0
028-AU-34.bin.1.325'	Marimicrobium	0	0	0	0	0
035-MX-06.bin.1.203'	Marmoricola	0	0	0	0	0
016-PL-06.bin.1.5'	Mesorhizobium_G	0	36.36	0	0	0
008-AR-23.bin.1.72'	Mesorhizobium_I	0	0	9.52	0	0
035-MX-06.bin.1.88'	Methylophosphatis	0	0	0	0	0
052-CH-10.bin.1.192'	Methyloversatilis	0	0	0	68	0
037-NO2-03.bin.1.67'	Microbacterium	0	0	0	0	0
091-US1-126.bin.1.343'	Micropruina	0	0	0	0	0
063-AU-32.bin.1.12'	Microthrix	0	0	0	0	0
064-CA-01.bin.c.11'	Mycobacterium	0	0	0	0	0
061-AU-11.bin.2.99'	Nannocystis	0	0	0	0	0
021-CZ-11.bin.1.329'	Nitrosomonas	0	0.78	0	5.47	0
035-MX-06.bin.1.274'	Nitrospira_A	0	0	0	0	0
002-MX-07.bin.2.25'	Nitrospira_D	0	11.76	0	0	0
017-IL-02.bin.1.27'	Nitrotoga	0	57.14	0	0	0
078-MX-10.bin.1.111'	Nocardioides	0	0	0	0	0
025-FI-01.bin.1.451'	Nostocoides_A	0	0	0	0	0
013-IT-11.bin.1.124'	Novosphingobium	0	6.62	0	0	0
037-NO2-03.bin.1.193'	OLB10	0	0	0	0	0
053-PL-24.bin.1.433'	OLB11	0	0	0	0	0
065-CA-03.bin.1.197'	OLB17	0	0	0	0	0
013-IT-11.bin.1.108'	OLB5	0	0	0	0	0
028-AU-34.bin.1.230'	OLB9	0	0	0	0	0
036-NL-06.bin.1.206'	Obscuribacter	0	0	21.43	0	0
034-IT-09.bin.1.358'	Opimibacter	0	0	0	0	0
059-AT-02.bin.1.302'	Ottowia	0	0	0	3.28	1.64
018-CH-08.bin.1.366'	PBB1	0	0	0	0	0
040-UK-14.bin.1.190'	PFJX01	0	0	0	0	0
028-AU-34.bin.1.275'	PHOS-HE28	0	0	0	0	0
009-AU-01.bin.1.80'	Paludibacter	0	0	0	0	0
073-IL-01.bin.1.81'	Paracoccus	0	0	0	0	0
050-BE-09.bin.1.665'	Parvibacillus	0	0	0	0	0
018-CH-08.bin.1.184'	Phenylobacterium	0	15.91	0	0	0
017-IL-02.bin.1.504'	Phosphoribacter	0	0	0	0	0
034-IT-09.bin.1.492'	Phycicoccus_A	0	0	0	0	0
027-AU-18.bin.1.2'	Pirellula_B	0	0	0	0	0
090-US1-124.bin.1.692'	Piscinibacter	0	0	0	0	0
087-SA-04.bin.1.353'	Promineifilum	0	0	0	0	0
029-CA-06.bin.1.84'	Propioniciclava	0	0	0	0	0
004-NL-18.bin.1.309'	Propionivibrio	0	0	0	24.24	6.06
014-ES-23.bin.1.435'	Prosthecobacter	0	0	0	0	0
014-ES-23.bin.1.37'	Proximibacter	0	0	0	6.67	26.67
014-ES-23.bin.c.10'	Pseudobdellovibrio	0	0	0	0	0
058-AR-20.bin.1.142'	Pseudogemmobacter	72.73	0	0	0	0
099-UY-16.bin.1.290'	Pseudomonas_E	6.67	0	0	0	0
045-US1-87.bin.1.37'	QY30	0	0	0	0	0
071-HK-01.bin.1.379'	Quisquiliibacterium	0	0	0	26	46
008-AR-23.bin.1.642'	RAM1	0	0	0	100	4.76
063-AU-32.bin.c.21'	RPQJ01	0	0	0	0	1.89
032-ES-07.bin.1.207'	RXIV01	0	5.56	0	0	0
090-US1-124.bin.1.494'	Reyranella	0	14.29	14.29	7.14	7.14
014-ES-23.bin.1.319'	Rhodoferax	0	0	0	70	0
098-UY-13.bin.1.328'	Rhodoferax_C	0	12.12	0	27.27	0
028-AU-34.bin.1.61'	Rhodoplanes	0	0	8.33	0	0
048-UY-15.bin.2.114'	Romboutsia	0	0	0	0	0
011-CY-01.bin.1.362'	Rubrivivax	0	4.61	0	0	0
090-US1-124.bin.c.8'	Rugosibacter	0	0	0	0	0
016-PL-06.bin.1.76'	Ruminococcoides	0	0	0	0	0
050-BE-09.bin.1.437'	SCN-70-22	0	0	0	0	0
004-NL-18.bin.1.123'	SCUS01	0	0	0	0	0
020-NO1-03.bin.1.469'	SSF14	0	0	0	0	0
