Tree node ID	Genus
043-US1-27.bin.1.517'	Devosia_A
038-SE-10.bin.1.73'	JANMEX01
019-HK-04.bin.1.611'	DUSC01
016-PL-06.bin.1.5'	Mesorhizobium_G
008-AR-23.bin.1.72'	Mesorhizobium_I
058-AR-20.bin.1.186'	Aestuariivirga
073-IL-01.bin.1.133'	JAEUMD01
082-NL-09.bin.c.2'	Hyphomicrobium_C
038-SE-10.bin.1.18'	Hyphomicrobium_B
011-CY-01.bin.1.245'	Ga0077555
002-MX-07.bin.1.575'	AWTP1-13
090-US1-124.bin.1.295'	JABFRJ01
063-AU-32.bin.c.21'	RPQJ01
053-PL-24.bin.1.591'	ZC4RG30
071-HK-01.bin.1.58'	UBA964
062-AU-26.bin.1.41'	CADEFQ01
009-AU-01.bin.1.75'	JADKHK01
053-PL-24.bin.1.182'	Dokdonella
017-IL-02.bin.1.135'	Denitratimonas
089-SG-01.bin.1.87'	Arenimonas
023-IN-14.bin.1.553'	Thermomonas
043-US1-27.bin.c.15'	M0108
042-US1-105.bin.c.20'	Competibacter
001-SG-02.bin.1.226'	Competibacter_A
032-ES-07.bin.1.207'	RXIV01
017-IL-02.bin.1.255'	JARSSO01
076-IN-18.bin.1.728'	Thiothrix
055-AR-06.bin.1.59'	Aeromonas
065-CA-03.bin.1.251'	UBA2031
018-CH-08.bin.2.379'	Acinetobacter
023-IN-14.bin.2.241'	Fluviicoccus
015-DE-14.bin.2.151'	Agitococcus
099-UY-16.bin.1.290'	Pseudomonas_E
058-AR-20.bin.1.176'	UBA7239
035-MX-06.bin.1.6'	UBA5518
028-AU-34.bin.1.325'	Marimicrobium
071-HK-01.bin.1.379'	Quisquiliibacterium
012-PT-06.bin.1.125'	AAP99
058-AR-20.bin.1.465'	Inhella
053-PL-24.bin.1.493'	Aquabacterium
014-ES-23.bin.1.210'	Sphaerotilus
018-CH-08.bin.1.366'	PBB1
090-US1-124.bin.1.692'	Piscinibacter
009-AU-01.bin.1.280'	CAIKUF01
011-CY-01.bin.1.362'	Rubrivivax
040-UK-14.bin.1.542'	Aquabacterium_A
018-CH-08.bin.1.423'	Ideonella
040-UK-14.bin.1.135'	JAMIFN01
019-HK-04.bin.1.103'	Hydrogenophaga
059-AT-02.bin.1.302'	Ottowia
072-HK-05.bin.1.212'	JADKHE01
008-AR-23.bin.1.642'	RAM1
062-AU-26.bin.1.98'	Simplicispira
052-CH-10.bin.2.341'	Acidovorax
037-NO2-03.bin.1.485'	JAAFJR01
017-IL-02.bin.1.635'	CAISIP01
098-UY-13.bin.1.328'	Rhodoferax_C
014-ES-23.bin.1.319'	Rhodoferax
035-MX-06.bin.1.258'	2025-02-06T23:00:00.000Z
020-NO1-03.bin.1.99'	JAEUNB01
090-US1-124.bin.1.337'	Casimicrobium
061-AU-11.bin.1.112'	VBCG01
036-NL-06.bin.1.318'	CAIWHR01
015-DE-14.bin.1.95'	Ga0077523
040-UK-14.bin.1.190'	PFJX01
002-MX-07.bin.1.716'	CALMFQ01
021-CZ-11.bin.1.329'	Nitrosomonas
017-IL-02.bin.1.27'	Nitrotoga
004-NL-18.bin.1.309'	Propionivibrio
002-MX-07.bin.1.567'	Accumulibacter
014-ES-23.bin.1.37'	Proximibacter
041-UK2-07.bin.1.426'	Azonexus
021-CZ-11.bin.1.6'	SSSZ01
098-UY-13.bin.1.166'	Zoogloea
035-MX-06.bin.1.451'	Thauera
052-CH-10.bin.1.192'	Methyloversatilis
035-MX-06.bin.1.88'	Methylophosphatis
012-PT-06.bin.1.383'	Desulfobacillus
093-US1-47.bin.1.555'	Fen-999
062-AU-26.bin.1.204'	JADJEF01
090-US1-124.bin.c.8'	Rugosibacter
046-US2-03.bin.1.425'	Sulfuritalea
