Tree node ID	Genus	Genus_new
091-US1-126.bin.1.353'	Ancrocorticia	Ancrocorticia
067-CH-23.bin.1.322'	Sphingobium	Sphingobium
053-PL-24.bin.1.182'	Dokdonella	Dokdonella
009-AU-01.bin.1.280'	CAIKUF01	Glenelgivita
055-AR-06.bin.1.59'	Aeromonas	Aeromonas
013-IT-11.bin.2.487'	UBA9464	Newcastleousia
036-NL-06.bin.1.760'	UBA4417	Berazateguiaria
090-US1-124.bin.1.30'	SZUA-430	Bolivarivita
004-NL-18.bin.1.123'	SCUS01	Woodfordicella
073-IL-01.bin.1.81'	Paracoccus	Paracoccus
062-AU-26.bin.1.211'	JADJLQ01	Josecoccus
035-MX-06.bin.1.451'	Thauera	Thauera
032-ES-07.bin.1.17'	JALNZU01	Dahejiula
025-FI-01.bin.1.274'	JAJXWB01	Lisboaria
089-SG-01.bin.1.327'	JAKOUY01	Telavivousia
090-US1-124.bin.c.8'	Rugosibacter	Rugosibacter
065-CA-03.bin.1.128'	Fredericiella	Fredericiella
046-US2-03.bin.1.425'	Sulfuritalea	Sulfuritalea
034-IT-09.bin.1.12'	UBA10649	UBA10649
094-US2-01.bin.1.789'	JADJRG01	JADJRG01
037-NO2-03.bin.1.67'	Microbacterium	Microbacterium
073-IL-01.bin.1.239'	UBA2353	Bonzicella
043-US1-27.bin.1.249'	2-12-FULL-35-15	Espoomorpha
012-PT-06.bin.1.125'	AAP99	Neustadtius
008-AR-23.bin.1.642'	RAM1	Lisboamicrobium
038-SE-10.bin.1.73'	JANMEX01	Lidingovita
063-AU-32.bin.1.230'	JADJGJ01	Glenelgisoma
059-AT-02.bin.1.55'	JADJSS01	Woodfordiana
025-FI-01.bin.1.312'	CAISKJ01	CAISKJ01
008-AR-23.bin.2.57'	UBA5069	UBA5069
093-US1-47.bin.1.555'	Fen-999	Lidingous
063-AU-32.bin.1.12'	Microthrix	Microthrix
004-NL-18.bin.1.6'	JAEUQQ01	JAEUQQ01
010-BE-17.bin.1.109'	JADJJE01	Randabergousia
066-CH-22.bin.1.540'	JBAOHV01	Leonibacter
052-CH-10.bin.1.502'	UBA668	UBA668
090-US1-124.bin.1.494'	Reyranella	Reyranella
082-NL-09.bin.c.2'	Hyphomicrobium_C	Hyphomicrobium_C
058-AR-20.bin.1.120'	Sphingorhabdus_B	Sphingorhabdus_B
093-US1-47.bin.1.205'	JADJJR01	Telavivibacterium
050-BE-09.bin.1.437'	SCN-70-22	Jeddahius
008-AR-23.bin.1.72'	Mesorhizobium_I	Mesorhizobium_I
072-HK-05.bin.1.25'	JABDGM01	Morpethisoma
036-NL-06.bin.1.495'	JAGNNV01	Plzenisoma
035-MX-06.bin.1.203'	Marmoricola	Marmoricola
060-AU-05.bin.1.354'	JADKJB01	Morpethimorpha
018-CH-08.bin.1.178'	CAIXRL01	Yanbumorpha
006-MY-06.bin.1.149'	JADZAI01	Lumpurousia
015-DE-14.bin.1.300'	DASXPC01	Woodfordiaria
017-IL-02.bin.1.635'	CAISIP01	Oslobacter
004-NL-18.bin.2.356'	IGN3	Dahejium
040-UK-14.bin.1.542'	Aquabacterium_A	Aquabacterium_A
063-AU-32.bin.c.25'	JAGNTT01	Woodfordiella
052-CH-10.bin.1.189'	JADLHS01	Varelabacter
