genome_id,gtdb_classification,Database
001-SG-02.bin.1.52,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__VFKE01;s__,MiDAS Global
001-SG-02.bin.1.520,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__SXIZ01;s__,MiDAS Global
001-SG-02.bin.1.521,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__JAHBWI01;s__,MiDAS Global
001-SG-02.bin.1.526,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__;g__;s__,MiDAS Global
001-SG-02.bin.1.535,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__CADEFQ01;s__CADEFQ01 sp019187185,MiDAS Global
001-SG-02.bin.1.548,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__RBC074;s__,MiDAS Global
001-SG-02.bin.1.557,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__;s__,MiDAS Global
001-SG-02.bin.1.562,d__Bacteria;p__Bdellovibrionota;c__UBA1018;o__UBA1018;f__CAUJDS01;g__;s__,MiDAS Global
001-SG-02.bin.1.58,d__Bacteria;p__Myxococcota;c__UBA727;o__UBA727;f__G023898405;g__G023898405;s__,MiDAS Global
001-SG-02.bin.1.587,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__,MiDAS Global
001-SG-02.bin.1.589,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__,MiDAS Global
001-SG-02.bin.1.590,d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__CALDSP01;s__,MiDAS Global
001-SG-02.bin.1.595,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__JAIBCL01;s__,MiDAS Global
001-SG-02.bin.1.608,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__;s__,MiDAS Global
001-SG-02.bin.1.610,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__JAEUJQ01;s__,MiDAS Global
