Strain	Wavelength	Initial OD~600~	OD
Δ2730-2732	620	0.15	0.023
Δ2730-2732	620	0.15	0.024
Δ2730-2732	600	0.00029297	0.0585
Δ2730-2732	600	0.00029297	0.0665
Δ2730-2732	600	0.00029297	0.0465
Δ2730-2732	600	0.00029297	0.0395
Δ2730-2732	600	0.00029297	0.0325
Δ2730-2732	600	0.00029297	0.0235
Δ2730-2732	600	0.00058594	0.0545
Δ2730-2732	600	0.00058594	0.0845
Δ2730-2732	600	0.00058594	0.0445
Δ2730-2732	600	0.00058594	0.0645
Δ2730-2732	600	0.00058594	0.0485
Δ2730-2732	600	0.00058594	0.0485
Δ2730-2732	600	0.00117188	0.2375
Δ2730-2732	600	0.00117188	0.2255
Δ2730-2732	600	0.00117188	0.1935
Δ2730-2732	600	0.00117188	0.2065
Δ2730-2732	600	0.00117188	0.1605
Δ2730-2732	600	0.00117188	0.1105
Δ2730-2732	600	0.00234375	0.7835
Δ2730-2732	600	0.00234375	0.6645
Δ2730-2732	600	0.00234375	0.5805
Δ2730-2732	600	0.00234375	0.5585
Δ2730-2732	600	0.00234375	0.5215
Δ2730-2732	600	0.00234375	0.2785
Δ2730-2732	600	0.0046875	0.9935
Δ2730-2732	600	0.0046875	0.8885
Δ2730-2732	600	0.0046875	0.9025
Δ2730-2732	600	0.0046875	0.7625
Δ2730-2732	600	0.0046875	0.9415
Δ2730-2732	600	0.0046875	0.4485
Δ2730-2732	600	0.009375	1.5995
Δ2730-2732	600	0.009375	1.1515
Δ2730-2732	600	0.009375	1.1645
Δ2730-2732	600	0.009375	1.1535
Δ2730-2732	600	0.009375	1.1685
Δ2730-2732	600	0.009375	0.9665
Δ2730-2732	600	0.01875	1.7615
Δ2730-2732	600	0.01875	1.4855
Δ2730-2732	600	0.01875	1.2975
Δ2730-2732	600	0.01875	1.3415
Δ2730-2732	600	0.01875	1.3925
Δ2730-2732	600	0.01875	1.6265
Δ2730-2732	600	0.0375	2.5615
Δ2730-2732	600	0.0375	2.0845
Δ2730-2732	600	0.0375	1.9705
Δ2730-2732	600	0.0375	1.7115
Δ2730-2732	600	0.0375	1.7025
Δ2730-2732	600	0.0375	2.1375
Δ2730-2732	600	0.075	3.5555
Δ2730-2732	600	0.075	2.9445
Δ2730-2732	600	0.075	2.9695
Δ2730-2732	600	0.075	2.4235
Δ2730-2732	600	0.075	2.3175
Δ2730-2732	600	0.075	2.9895
Δ2730-2732	600	0.15	3.2905
Δ2730-2732	600	0.15	3.7865
Δ2730-2732	600	0.15	3.7165
Δ2730-2732	600	0.15	3.9045
Δ2730-2732	600	0.15	3.9785
Δ2730-2732	600	0.15	5.2525
Δ2374-2380	620	0.00029297	0.003
Δ2374-2380	620	0.00029297	0.00599999999999999
Δ2374-2380	620	0.00029297	0.003
Δ2374-2380	620	0.00029297	0
Δ2374-2380	620	0.00029297	0.005
Δ2374-2380	620	0.00029297	0.00599999999999999
Δ2374-2380	620	0.00058594	0.001
Δ2374-2380	620	0.00058594	0.004
Δ2374-2380	620	0.00058594	0.002
Δ2374-2380	620	0.00058594	0.003
Δ2374-2380	620	0.00058594	0.005
Δ2374-2380	620	0.00058594	0.00599999999999999
Δ2374-2380	620	0.00117188	0.003
Δ2374-2380	620	0.00117188	0.00699999999999999
Δ2374-2380	620	0.00117188	0.001
Δ2374-2380	620	0.00117188	0.00699999999999999
Δ2374-2380	620	0.00117188	0.00699999999999999
Δ2374-2380	620	0.00117188	0.00799999999999999
Δ2374-2380	620	0.00234375	-0.001
Δ2374-2380	620	0.00234375	0.003
Δ2374-2380	620	0.00234375	0.002
Δ2374-2380	620	0.00234375	0.004
Δ2374-2380	620	0.00234375	0.00799999999999999
Δ2374-2380	620	0.00234375	0.009
Δ2374-2380	620	0.0046875	0.00599999999999999
Δ2374-2380	620	0.0046875	0.005
Δ2374-2380	620	0.0046875	0.005
Δ2374-2380	620	0.0046875	0.00799999999999999
Δ2374-2380	620	0.0046875	0.00599999999999999
Δ2374-2380	620	0.0046875	0.016
Δ2374-2380	620	0.009375	0.013
Δ2374-2380	620	0.009375	0.014
Δ2374-2380	620	0.009375	0.011
Δ2374-2380	620	0.009375	0.035
Δ2374-2380	620	0.009375	0.017
Δ2374-2380	620	0.009375	0.014
Δ2374-2380	620	0.01875	0.012
Δ2374-2380	620	0.01875	0.023
Δ2374-2380	620	0.01875	0.02
Δ2374-2380	620	0.01875	0.027
Δ2374-2380	620	0.01875	0.021
Δ2374-2380	620	0.01875	0.021
Δ2374-2380	620	0.0375	0.026
Δ2374-2380	620	0.0375	0.034
Δ2374-2380	620	0.0375	0.026
Δ2374-2380	620	0.0375	0.031
Δ2374-2380	620	0.0375	0.02
Δ2374-2380	620	0.0375	0.03
Δ2374-2380	620	0.075	0.033
Δ2374-2380	620	0.075	0.03
Δ2374-2380	620	0.075	0.035
Δ2374-2380	620	0.075	0.041
Δ2374-2380	620	0.075	0.029
Δ2374-2380	620	0.075	0.023
Δ2374-2380	620	0.15	0.019
Δ2374-2380	620	0.15	0.022
Δ2374-2380	620	0.15	0.037
Δ2374-2380	620	0.15	0.054
Δ2374-2380	620	0.15	0.035
Δ2374-2380	620	0.15	0.033
Δ2374-2380	600	0.00029297	0.0505
Δ2374-2380	600	0.00029297	0.0465
Δ2374-2380	600	0.00029297	0.0325
Δ2374-2380	600	0.00029297	0.0305
Δ2374-2380	600	0.00029297	0.0335
Δ2374-2380	600	0.00029297	0.0315
Δ2374-2380	600	0.00058594	0.0175
Δ2374-2380	600	0.00058594	0.0245
Δ2374-2380	600	0.00058594	0.0295
Δ2374-2380	600	0.00058594	0.0275
Δ2374-2380	600	0.00058594	0.0185
Δ2374-2380	600	0.00058594	0.0235
Δ2374-2380	600	0.00117188	0.0485
Δ2374-2380	600	0.00117188	0.0575
Δ2374-2380	600	0.00117188	0.0495
Δ2374-2380	600	0.00117188	0.0595
Δ2374-2380	600	0.00117188	0.0555
Δ2374-2380	600	0.00117188	0.0475
Δ2374-2380	600	0.00234375	0.1095
Δ2374-2380	600	0.00234375	0.1145
Δ2374-2380	600	0.00234375	0.1045
Δ2374-2380	600	0.00234375	0.0955
Δ2374-2380	600	0.00234375	0.0885
Δ2374-2380	600	0.00234375	0.0885
Δ2374-2380	600	0.0046875	0.2575
Δ2374-2380	600	0.0046875	0.2495
Δ2374-2380	600	0.0046875	0.2195
Δ2374-2380	600	0.0046875	0.2345
Δ2374-2380	600	0.0046875	0.2225
Δ2374-2380	600	0.0046875	0.2165
Δ2374-2380	600	0.009375	0.5595
Δ2374-2380	600	0.009375	0.6015
Δ2374-2380	600	0.009375	0.5295
Δ2374-2380	600	0.009375	0.5205
Δ2374-2380	600	0.009375	0.4345
Δ2374-2380	600	0.009375	0.5035
Δ2374-2380	600	0.01875	0.9735
Δ2374-2380	600	0.01875	1.0025
Δ2374-2380	600	0.01875	0.9565
Δ2374-2380	600	0.01875	0.9145
Δ2374-2380	600	0.01875	0.8295
Δ2374-2380	600	0.01875	0.8945
Δ2374-2380	600	0.0375	1.3225
Δ2374-2380	600	0.0375	1.3025
Δ2374-2380	600	0.0375	1.2195
Δ2374-2380	600	0.0375	1.1645
Δ2374-2380	600	0.0375	1.2725
Δ2374-2380	600	0.0375	1.2545
Δ2374-2380	600	0.075	1.8295
Δ2374-2380	600	0.075	1.6165
Δ2374-2380	600	0.075	1.5455
Δ2374-2380	600	0.075	1.6615
Δ2374-2380	600	0.075	2.4315
Δ2374-2380	600	0.075	2.6025
Δ2374-2380	600	0.15	4.5745
Δ2374-2380	600	0.15	4.7605
Δ2374-2380	600	0.15	4.8545
Δ2374-2380	600	0.15	4.6065
Δ2374-2380	600	0.15	3.9455
Δ2374-2380	600	0.15	2.3715
